buy_initiated,buy_volume,close,delta,high,inference,low,open,sell_initiated,sell_volume,tick_delta,timestamp,security_id
26.0,7.0,144093.0,-1.0,144099.0,Buy Dominant,144085.0,144085.0,1.0,8.0,25.0,12:42,440938
23.0,36.0,144117.0,57.0,144117.0,Buy Dominant,144050.0,144051.0,18.0,-21.0,5.0,12:43,440938
33.5,-6.0,144180.0,35.0,144186.0,Buy Dominant,144142.0,144142.0,4.5,-41.0,29.0,12:44,440938
16.5,-10.0,144189.0,-14.0,144189.0,Buy Dominant,144152.0,144175.0,3.5,4.0,13.0,12:45,440938
13.5,1.0,144140.0,4.0,144168.0,Buy Dominant,144131.0,144168.0,4.5,-3.0,9.0,12:46,440938
47.0,31.0,144168.0,75.0,144200.0,Buy Dominant,144148.0,144148.0,4.0,-44.0,43.0,12:47,440938
1.0,-8.0,144175.0,8.0,144175.0,Sell Dominant,144165.0,144165.0,23.0,-16.0,-22.0,12:48,440938
22.0,-6.0,144155.0,-28.0,144185.0,Sell Dominant,144155.0,144185.0,27.0,22.0,-5.0,12:49,440938
40.0,0.0,144165.0,-11.0,144186.0,Buy Dominant,144164.0,144186.0,3.0,11.0,37.0,12:50,440938
7.0,-3.0,144160.0,4.0,144175.0,Sell Dominant,144155.0,144155.0,16.0,-7.0,-9.0,12:51,440938
27.0,5.0,144192.0,4.0,144192.0,Buy Dominant,144166.0,144166.0,5.0,1.0,22.0,12:52,440938
0.5,-41.0,144158.0,-38.0,144169.0,Sell Dominant,144158.0,144166.0,10.5,-3.0,-10.0,12:53,440938
15.0,23.0,144184.0,25.0,144190.0,Buy Dominant,144155.0,144190.0,2.0,-2.0,13.0,12:54,440938
0.5,-11.0,144155.0,-6.0,144174.0,Sell Dominant,144155.0,144174.0,16.5,-5.0,-16.0,12:55,440938
0.5,4.0,144162.0,33.0,144175.0,Sell Dominant,144150.0,144150.0,15.5,-29.0,-15.0,12:56,440938
12.0,0.0,144177.0,-8.0,144177.0,Buy Dominant,144152.0,144152.0,1.0,8.0,11.0,12:57,440938
2.0,27.0,144169.0,19.0,144177.0,Sell Dominant,144153.0,144153.0,11.0,8.0,-9.0,12:58,440938
0.0,-2.0,144153.0,-6.0,144153.0,Sell Dominant,144153.0,144153.0,10.0,4.0,-10.0,12:59,440938
22.0,-5.0,144200.0,36.0,144200.0,Buy Dominant,144177.0,144177.0,1.0,-41.0,21.0,13:00,440938
7.5,17.0,144198.0,19.0,144207.0,Sell Dominant,144198.0,144200.0,9.5,-2.0,-2.0,13:01,440938
38.0,3.0,144213.0,14.0,144226.0,Buy Dominant,144213.0,144218.0,3.0,-11.0,35.0,13:02,440938
0.5,-9.0,144204.0,-79.0,144211.0,Sell Dominant,144184.0,144211.0,56.5,70.0,-56.0,13:03,440938
7.5,-2.0,144200.0,-4.0,144204.0,Neutral,144200.0,144204.0,7.5,2.0,0.0,13:04,440938
5.5,-14.0,144203.0,-11.0,144232.0,Sell Dominant,144195.0,144195.0,26.5,-3.0,-21.0,13:05,440938
1.0,33.0,144151.0,31.0,144151.0,Sell Dominant,144113.0,144113.0,42.0,2.0,-41.0,13:06,440938
21.5,9.0,144219.0,18.0,144219.0,Buy Dominant,144219.0,144219.0,0.5,-9.0,21.0,13:07,440938
4.5,9.0,144225.0,10.0,144225.0,Sell Dominant,144197.0,144197.0,20.5,-1.0,-16.0,13:08,440938
10.0,27.0,144215.0,43.0,144230.0,Buy Dominant,144200.0,144230.0,1.0,-16.0,9.0,13:09,440938
24.0,6.0,144227.0,12.0,144227.0,Buy Dominant,144198.0,144220.0,7.0,-6.0,17.0,13:10,440938
2.0,-2.0,144200.0,-18.0,144200.0,Sell Dominant,144185.0,144185.0,7.0,16.0,-5.0,13:11,440938
38.5,-4.0,144233.0,1.0,144233.0,Buy Dominant,144221.0,144221.0,7.5,-5.0,31.0,13:12,440938
48.5,1.0,144290.0,-4.0,144290.0,Buy Dominant,144256.0,144277.0,5.5,5.0,43.0,13:13,440938
2.0,0.0,144255.0,-26.0,144272.0,Sell Dominant,144255.0,144272.0,24.0,26.0,-22.0,13:14,440938
22.5,-11.0,144252.0,-57.0,144282.0,Sell Dominant,144252.0,144282.0,44.5,46.0,-22.0,13:15,440938
14.5,-11.0,144249.0,-18.0,144289.0,Sell Dominant,144249.0,144289.0,23.5,7.0,-9.0,13:16,440938
2.0,-21.0,144253.0,-14.0,144253.0,Buy Dominant,144253.0,144253.0,0.0,-7.0,2.0,13:17,440938
1.0,-17.0,144205.0,-26.0,144230.0,Sell Dominant,144205.0,144212.0,33.0,9.0,-32.0,13:18,440938
0.5,8.0,144210.0,30.0,144212.0,Sell Dominant,144210.0,144212.0,13.5,-22.0,-13.0,13:19,440938
6.5,52.0,144230.0,45.0,144230.0,Buy Dominant,144210.0,144210.0,0.5,7.0,6.0,13:20,440938
14.0,-3.0,144253.0,16.0,144253.0,Buy Dominant,144230.0,144230.0,4.0,-19.0,10.0,13:21,440938
8.0,-5.0,144270.0,-26.0,144270.0,Buy Dominant,144250.0,144264.0,2.0,21.0,6.0,13:22,440938
0.0,-14.0,144277.0,-12.0,144277.0,Sell Dominant,144269.0,144269.0,8.0,-2.0,-8.0,13:23,440938
2.5,7.0,144267.0,-2.0,144276.0,Sell Dominant,144236.0,144264.0,24.5,9.0,-22.0,13:24,440938
97.0,-19.0,144315.0,75.0,144315.0,Buy Dominant,144297.0,144297.0,12.0,-94.0,85.0,13:25,440938
15.0,-7.0,144322.0,-12.0,144322.0,Buy Dominant,144322.0,144322.0,2.0,5.0,13.0,13:26,440938
44.0,-17.0,144305.0,-28.0,144337.0,Buy Dominant,144305.0,144337.0,30.0,11.0,14.0,13:27,440938
6.0,3.0,144302.0,27.0,144315.0,Sell Dominant,144295.0,144295.0,18.0,-24.0,-12.0,13:28,440938
17.5,3.0,144320.0,18.0,144320.0,Sell Dominant,144296.0,144300.0,40.5,-15.0,-23.0,13:29,440938
2.5,4.0,144266.0,5.0,144291.0,Sell Dominant,144266.0,144269.0,29.5,-1.0,-27.0,13:30,440938
18.5,8.0,144285.0,4.0,144297.0,Buy Dominant,144285.0,144297.0,3.5,4.0,15.0,13:31,440938
