security_id,timestamp,buy_volume,sell_volume,buy_initiated,sell_initiated,tick_delta,open,high,low,close,delta,inference,open_interest,oi_change,oi_interpretation
449534,12:43,-5.0,0.0,0.0,0.0,0.0,130642.0,130642.0,130642.0,130642.0,-5.0,Neutral,0.0,0.0,Neutral
451666,12:44,-6.0,4.0,6.5,6.5,0.0,192958.0,192966.0,192940.0,192966.0,-10.0,Neutral,0.0,0.0,Neutral
451669,12:44,0.0,26.0,9.5,5.5,4.0,193400.0,193421.0,193346.0,193363.0,-26.0,Buy Dominant,0.0,0.0,Neutral
454818,12:41,-12.0,-2.0,0.0,0.0,0.0,132975.0,132975.0,132975.0,132975.0,-10.0,Neutral,0.0,0.0,Neutral
457532,12:38,15.0,19.0,0.0,0.0,0.0,195287.0,195287.0,195287.0,195287.0,-4.0,Neutral,0.0,0.0,Neutral
457533,12:42,-21.0,23.0,0.0,0.0,0.0,196211.0,196211.0,196211.0,196211.0,-44.0,Neutral,0.0,0.0,Neutral
458305,12:44,4.0,31.0,16.5,24.5,-8.0,193395.0,193395.0,193320.0,193339.0,-27.0,Sell Dominant,0.0,0.0,Neutral
459277,11:36,0.0,0.0,0.0,0.0,0.0,135243.0,135243.0,135243.0,135243.0,0.0,Neutral,0.0,0.0,Neutral
462523,12:44,-12.0,40.0,0.5,1.5,-1.0,5261.0,5261.0,5260.0,5261.0,-52.0,Sell Dominant,0.0,0.0,Neutral
462524,12:44,-56.0,9.0,40.5,40.5,0.0,5262.0,5262.0,5259.0,5259.0,-65.0,Neutral,0.0,0.0,Neutral
463007,12:43,0.0,-2.0,0.0,0.0,0.0,412.8,412.8,412.8,412.8,2.0,Neutral,0.0,0.0,Neutral
463007,12:44,4.0,-46.0,2.5,3.5,-1.0,412.8,412.8,412.7,412.7,50.0,Sell Dominant,0.0,0.0,Neutral
463008,12:44,2.0,-18.0,5.0,1.0,4.0,412.9,412.9,412.7,412.8,20.0,Buy Dominant,0.0,0.0,Neutral
464150,12:31,1.0,0.0,0.0,0.0,0.0,198400.0,198400.0,198400.0,198400.0,1.0,Neutral,0.0,0.0,Neutral
