symbol,security_id,exchange,segment,instrument
GOLD,438425,MCX,M,FUTCOM
SILVERM,439487,MCX,M,FUTCOM
SILVER,439488,MCX,M,FUTCOM
SILVERM,440938,MCX,M,FUTCOM
GOLD,440939,MCX,M,FUTCOM
SILVER,445004,MCX,M,FUTCOM
CRUDEOIL,447552,MCX,M,FUTCOM
CRUDEOILM,447553,MCX,M,FUTCOM
NATURALGAS,447849,MCX,M,FUTCOM
NATGASMINI,447850,MCX,M,FUTCOM
CRUDEOIL,450134,MCX,M,FUTCOM
CRUDEOILM,450135,MCX,M,FUTCOM
NATURALGAS,450499,MCX,M,FUTCOM
NATGASMINI,450500,MCX,M,FUTCOM
COPPER,450647,MCX,M,FUTCOM
SILVER,451666,MCX,M,FUTCOM
COPPER,452845,MCX,M,FUTCOM
SILVER,464150,MCX,M,FUTCOM
SILVERM,464151,MCX,M,FUTCOM
